Title,URL,Address,Compensation,Employment Type,Description 
Architectural Intern / Administrative assistant,https://newyork.craigslist.org/brk/egr/d/architectural-intern-administrative/6858780912.html,Brooklyn,Competitive compensation based on skills/experience,full-time,"
        
Brooklyn Architectural firm seeks:
full-time position for Architectural Intern / Administrative assistant


Skills: 
Professional & motivated attitude
Written and communication skills 
Standard Microsoft office suite familiarity
Architectural background
Familiarity with NYC Department of Buildings

Responsibilities include:
Written reports / Paperwork 
Client correspondence, etc.

Competitive compensation based on skills/experience

Job seeker to live within 20 miles of 11219 Zip code.    "
Expediter (Class 2) / Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-expediter-class-2-project/6858953393.html,Financial District,Commensurate with experience,full-time,"
        
Architectural Consultant/Expediter
 
Building and Zoning Law Consultant is seeking college graduates with Bachelors and/or Masters in Architecture or Engineering and an interest in the Department of Buildings Code Consultation/Expediting for a full time position. Filing representatives with Class 1 or 2 DOB IDs will also be considered. 

Applicants must have the ability to communicate the items required for approval with colleagues and clients. Must be able to multi-task in order to expedite a large number of projects. Applicants must have strong communication, organizational and computer skills. Microsoft Word, Outlook and Excel experience required. 

Please send resume detailing past experience and include salary requirements. Experience with NYC Building Code and Zoning Law is preferred but not required. Please indicate your level of experience in your reply.

We offer a competitive salary based on level of experience along with an extensive benefits package including Metrocards, paid vacation, medical, dental, vision insurance.
    "
CAD Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drafter/6859101668.html,Brooklyn Heights,Depending on Experience,full-time,"
        
Brooklyn Heights based architectural firm seeks a CAD drafter with strong technical skills for work on high-end residential, historic restoration/adaptation and new construction projects. Applicant will be involved in all phases of projects. 

Responsibilities: Assist project managers with tasks including research, design, document production, detailing, DOB and LPC approvals. 

Qualifications: B. Arch., with minimum of 2 years of experience working within an architectural firm, strong AutoCAD, SketchUp, Photoshop and MS Office skills. Must be able to work independently and have good communication and time management skills, as well as provide excellent references. 

We offer health insurance and additional benefits. The firm is small and maintains a casual work environment with room to grow based on performance. 
 
Please send resume and salary expectation (.pdf format) with subject line: ""Project Assistant Position""
Please include a link to your portfolio: do NOT attach your portfolio.    "
Senior Mechanical Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-mechanical/6859486736.html,New York,TBD,full-time,"
        
DACK Consulting, a reputable and growing Construction Consulting/ Management firm, would like to hire a dedicated MEP Estimator that can work in a fast-paced environment and who is ready to jumpstart his/her career in the construction industry. The individual will have the opportunity to work on exciting projects and working closely with seasoned professionals.

-Will be responsible in assisting the head estimator with procurement of technical drawings, and preparing technical documentation for review by the head estimator.
-Assist in preparing MEP estimates by extracting project information provided in forms of scope documents, drawings, specifications, sketches, basis of design documents.
-Prepare and perform quantitative digital take-offs, maintain estimating data, apply unit pricing to quantities using historical pricing data and or newly approved pricing.
-Evaluate technical drawings to be within the company’s standard parameters, and be able to suggest alternative options.
-Re-evaluate scope and specification changes of projects when necessary and update company database accordingly.
-Call and speak with other estimators and or account managers, general contractors, architects, designers and project managers, to discuss project issues that may arise and propose alternative solutions to problems.

REQUIREMENTS

Strong math and organizational skills.
Detail oriented.
Ability to multitask and prioritize.
Strong knowledge of the Microsoft suite of software and Adobe Acrobat.
Excellent and professional oral and written communication skills.

PREFERRED SKILLS AND KNOWLEDGE:

Bachelor’s degree in Construction Management, Engineering or Architecture.    "
Structural Engineer,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6859948704.html,Queens,The salary is based on level of experience.,full-time,"
        
As a well established engineering firm serving the Tri-State area for over 25 years, we are currently seeking a structural engineers to join our team.

Required Qualifications

   -  MS degree in Civil Engineering.
   -  Proficient skill with AutoCAD or Microstation. Knowledge in both is highly preferred.
   -  2+ years experience in residential/commercial building structure design.
   -  Experience in concrete/steel shop drawings design is a plus. 
   -  Experience or previous education/training in eTabs, STAAD, or RAM is a plus.
   -  Must have excellent verbal and written communication skills, work well with team environments, and be able to work solely with minimal supervision on deadline driven projects.

    "
Architectural Designer,https://newyork.craigslist.org/que/egr/d/flushing-architectural-designer/6859951042.html,Flushing,The salary is based on level of experience.,full-time,"
        
Architecture Design Firm in Queens is looking to fill an Architectural Designer position. Candidate must have 2+ years of design experience.

The primary duties will be to provide project participation in all phases of design including Concept Design, Design Development, Construction Documents and Construction Administration. The candidate will be expected to understand and develop aspects of working drawings and details. The following is required of the candidate:

Qualifications include:
-- Degree in Architecture.
-- Excellent design and graphic skills, and proficiency in AutoCAD, SketchUp and other 3D rendering and graphic programs are preferable.
-- Familiarity with NYC zoning and building code is a plus
-- Working knowledge of expediting/ filing procedures with DOB is a plus.
-- Excellent verbal and written communication skills
-- Excellent organizational and time management skills
    "
ESTIMATOR - MISCELLANEOUS & ARCHITECTURAL METALS,https://newyork.craigslist.org/que/egr/d/maspeth-estimator-miscellaneous/6860175502.html,,Excellent salary & benefits package including Medical Ins. & 401K,full-time,"
        
ESTIMATOR –  MISCELLANEOUS & ARCHITECTURAL METALS

Established Miscellaneous & Architectural Metal Fabrication company looking for an experienced, motivated and energetic estimator to join our team. 
Duties include:
•	Preparing detailed take-off and estimates.
•	Analyzing architectural drawing and developing detailed scope of work.
•	Preparing proposals.
Must possess the following skills:
•	Have an eye for detail.
•	Strong analytical & communication skills.
•	Have at least 10 years of experience.
•	Strong communication skills 
Excellent salary and benefits package.
    "
secretary runner,https://newyork.craigslist.org/lgi/egr/d/lindenhurst-secretary-runner/6860206440.html,lindenhurst,salary open,part-time,"
        
looking for runner to handle paperwork, secretary duties, going to building department, drop off paperwork to clients, sample to customer, handles checks to clients, may provided a minivan from company  if needed or use your own vechicle. will help train.
salary open. email resumes or just call andy 516 -712 -4900    "
Junior / Intern Architect - Fulltime,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-intern-architect/6860515820.html,Downtown,Negotiable,full-time,"
        
Manhattan architectural firm seeks fulltime Junior / Intern Architect. 
We are a well-established NYC architectural firm that fosters learning with diverse project types including; restaurants, corporate interiors, residential, medical and historic preservation. 
Our office works in a virtual environment, candidate shall have own laptop with AutoCad and webcam. Work from home, conduct site visits and attend staff meetings in person twice a month in downtown Manhattan. We communicate digitally on a daily basis through Slack.

Duties will include: drafting of: existing conditions / floor plans / reflected ceiling plans / interior elevations / details / finish and door schedules, existing conditions measurements, Building Department expediting, some design, and construction administration. 

Accredited BArch and AutoCad proficiency required. Willing to train a dedicated individual with good technical skills. Great opportunity for a motivated individual wishing to work towards becoming a Registered Architect. Earn NCARB AXP experience while gaining valuable knowledge towards licensure. 

Please email reply including resume and cover letter with salary requirements.
    "
EXPERIENCED ARCHITECT,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/6860520685.html,QUEENS,BASED ON EXPERIENCE,full-time,"
        
LOOKING TO HIRE EXPERIENCED ARCHITECT MUST KNOW AND BE ABLE TO DO NYC  ZONING CALCULATIONS,  CODES REVIEW  AND PLAN REQUIREMENTS FOR DOB SUBMITTAL FAMILIAR WITH  DOB PAPERWORK. CLASS TWO DOB ID IS A PLUS. 

REQUIREMENTS:
- Must have 5-year Bachelor of Architecture degree and minimum 3 years working experience in single family residential design and mixed-use buildings 
- Must have knowledge of NYC zoning and building codes
- Must be able to develop design concepts into a full set of construction drawings independently
- Must be a very organized team player with excellent communication skills. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants
- Strong AutoCad skills 
- Must be able to manage multiple projects EMAIL YOUR RESUME.    "
Lead Architect / Project Architect - 5 to 10 year exp.,https://newyork.craigslist.org/mnh/egr/d/new-york-city-lead-architect-project/6860593574.html,Chelsea,Please email resume and salary requirements.,full-time,"
        
Mortar is a Chelsea based Architecture and Development firm specializing in multi-family design and construction. We are looking for an experienced Project Architect / Senior Architect to work on and manage several new construction multi-family residential projects.

Applicant must be able to manage multiple projects and lead a production team, be comfortable managing client meetings and the Building Department filing process.

- Design oriented with proficient attention to detail

- 5 to 10 years of work relevant experience in all architectural project phases from conceptual design through construction administration

- Able to assemble and coordinate a full construction document set

- Proficient with NYC Building Department rules and zoning

- Comfortable w/ working in the field with contractors

- Good communication, leadership, and problem-solving skills

- Excellent interpersonal skills to communicate effectively with clients, contractors, and consultants

- Degree from an accredited architecture school

- Architectural license a plus

- Self motivated

MORTAR ARCHITECTURE + DEVELOPMENT

www.mortararchdev.com

Please email resume and salary requirements.

Benefits

·Competitive Compensation

·Health Insurance

·Bonus Compensation Package

·Opportunity for growth in an expanding firm

Job Type: Full-time    "
Architect Intern Position,https://newyork.craigslist.org/brx/egr/d/bronx-architect-intern-position/6860960669.html,Bronx,Commensurate with experience.,full-time,"
        
Architect Intern Position. Must have a good working knowledge of Autocad for the production of construction plans. Will be working directly with Architect and Designer on all phases of construction documents.    "
Architect - Designer I,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/6860982233.html,Midtown West,50K+,full-time,"
        
Growing Architectural and Engineering firm located in midtown Manhattan is offering a long-term position for an Architect I with 3-5 years of experience.

As part of the Architectural Discipline department, the Architect I shall work independently in developing project-specific solutions for design, program and technical requirements for the projects.

The Architect I shall coordinate with other disciplines in the production of drawings and construction documents which fulfill the design concept, meet the client's expectations and the firm's goals of design excellence, project feasibility, and quality service.

The Architect I shall receive technical, budgetary, managerial and design guidance from the project architect, but is expected to be self-organized and work independently.

Job Duties:
Execute and enhance the design intent while preparing the construction documents.
Supervise small and medium size teams of professional and technical support personnel involved in various project situations
Manage and deliver the production of the construction documents for small and medium-sized projects. 
Adhere to both the Firm’s and the Client’s guidelines, rules and regulations, and meet deadlines within budget for each project. Maintain knowledge of projects and resources.
Provide technical support to remaining project team members

Marketing
Assist market segment leaders and the marketing department in the preparation of design documents and presentations material.

Schematic Design and Design Development
Work with the project manager and the project architect creating buildings which serve the client’s needs and 
responds to their desired image, space and aesthetic.
Develop code compliant designs.
Participate in design presentations to the client.
Participate in the projects’ design review presentation.
Direct project coordination meetings for small and medium-sized projects.
Work with the project architect in developing the building design by testing it in relation to program, budget, 
codes and other issues that emerge in the Design Development phase.

Construction Documents
Work with the project architect in articulating design principles that help govern the detailing phase of the 
project.
Work with the engineering disciplines (inclusive of civil and landscape) and Interiors in order to ensure consistent 
development of the project towards the design concepts established in earlier phases.
Develop project specifications and other technical requirements of projects.

Construction Administration
Participate in submittal responses, shop drawing review, and construction site visits.
Prepare site visit reports.
Work with the technical team in preparing construction phase design directives.
Mentor and assign tasks to Architecture Interns.
Performs other duties and responsibilities as required or requested.

Job Requirements:
Recently licensed architect or non-registered graduate with 3-5 years of experience.
Prior experience as an architect for components of projects with demonstrated technical and organizational 
proficiency.
Demonstrated superior graphic design and building design and conceptualization skills.
Proficiency with Revit
Working knowledge of NYC Building and Zoning Code or ability to comprehend, analyze, and interpret 
applicable regulations and codes
Ability to work independently and as a team member
Excellent verbal and written communication skills    "
Sr. MEP Design Engineer - Mechanical,https://newyork.craigslist.org/mnh/egr/d/new-york-city-sr-mep-design-engineer/6861059170.html,"New York, NY",Commensurate with experience,full-time,"
        
Ettinger Engineering Associates has openings for experienced Senior MEP Mechanical Engineers with a minimum of 8-10 years experience in systems design, creating plans, schematics, equipment selection & calculations, response to shop drawings/submittals/RFIs, systems narratives, specifications and so on. This role will require also supervision of junior staff and review of drawings.

General Qualifications include:
-A B.S. in Engineering and 8+ years of experience in MEP Mechanical field.
-EIT certificate and/or PE License preferred
-Other certifications a plus (LEED GA or AP, BCxP, HBDP, etc.)
-Must be familiar with local building codes.
-Must be experienced with both AutoCad and Revit.
-Experience in PMing an entire project handling other MEP trades a plus, but not required
-Proficiency in MSOFFICE & Google Drive tools.
-Must be able to professionally represent the company to clients and agencies at meetings and through written correspondence.
-Must be able to demonstrate the ability to solve complex technical and project level problems

Compensation & Benefits:
We offer a competitive salary based on the candidate's experience and credentials
Medical, vision and dental insurance offered with substantial contributions by the firm
Disability insurance for the employee paid for by the Firm
401k plan with firm matching schedule.
PTO schedule increases with years of service
Paid holidays

Send resume labeled with your first and last name.
Send minimum salary requirement
Must be authorized to work in the United States
NO CALLS.

EEA Culture

EEA is a mid-size firm with enough capability, experience and resources to take on the largest of development projects. At the same time, our company is organized in smaller studios which provide for numerous client and employee benefits. As an example of an outward benefit, our studio model ensures that repeat clients interact with consistent managerial and engineering staff that is familiar with client operational models, expectations, norms, etc. Inwardly, studios and the smaller project teams within them, allow our employees to form tight-knit and collegial professional relationships, allow for seamless work sharing and more.

Beyond a culture which rewards excellence, ""sets the bar high"", and strives to consistently and relentlessly exceed expectations, our internal culture is centered around five additional tenets:

Staff Appreciation - People Are Our Most Valuable Asset
Professional Development - Your Growth is Shared Growth
Flexibility
Environmental Consciousness
Diversity

Read more about us at: 

Equal Opportunity Employer

Job Type: Full-time
    "
"Sr, Mid & Jr MEP PM Engineers - All Trades",https://newyork.craigslist.org/mnh/egr/d/new-york-city-sr-mid-jr-mep-pm/6861062698.html,Midtown West,Commensurate with experience,full-time,"
        
Ettinger Engineering Associates is a premier MEP/FP consulting engineering firm located in midtown Manhattan. Since 1960, the firm has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services across a diverse set of building typologies. Currently we offer excellent career opportunities for multiple MEP project managers.  These positions will be integral to the day-to-day operation and success of our MEP consulting team and successful candidates will have the opportunity to lead MEP design scope on a wide range of projects and endeavors. These roles will involve excellent team building and growth potential for the right candidates.

1) Sr. Project/PM MEP Engineers - Mechanical, Electrical or Plumbing/Fire Protection
Currently, we offer excellent career opportunities for Senior Level MEP Engineers and Project Managers with demonstrated experience in coordinating and organizing the efforts of all MEP trades for a diverse set of projects.

Responsibilities associated with the position are:
-Providing and/or supervising MEP design within your trade(s) of expertise
-Leading larger multi-discipline teams and resources and effectively manage project scopes, budget and scheduling/deadlines
-Communicating with broader consultant team members (e.g., Architects, Structural Engineers, Lighting Consultants, etc.) and coordinating project levels items with this team
-Coordinating high-level project direction with firm Principals and coordinating internal team utilization and protocols with firm Engineering Management

General Qualifications include:
-A BS in Engineering, 12-15+ years of experience in both building design and project management
-EIT certificate and/or PE License preferred
-LEED GA/AP certification or similar a plus
-PMI PMP Certification or similar preferred
-REVIT & CAD experience required
-Must have demonstrated familiarity with NYC and NYS building codes
-Must be able to professionally represent the company to clients and agencies at meetings and through written correspondence.
-Must be able to demonstrate the ability to solve complex technical and project level problems
-Proficiency in MSOFFICE & Google Drive tools
-Must be organized, energetic and accountable
-Exceptional communication, writing and interpersonal skills
-Must be able to work overtime as needed to meet project deadlines
 
2) Jr. or Mid-Level Project/PM MEP Engineers - Mechanical, Electrical or Plumbing/Fire Protection
Currently, we offer excellent career opportunities for Junior or Mid-Level MEP Engineers and Project Managers with demonstrated experience in coordinating and organizing the efforts of all MEP trades for a diverse set of projects.

Responsibilities associated with the position are:
-Providing and/or supervising MEP design within your trade(s) of expertise
-Maintain day-to-day responsibility for assigned projects
-Leading multi-disciplinary teams/resources and effectively managing project scopes, budget and scheduling/deadlines
-Communicating with broader consultant team members (e.g., Architects, Structural Engineers, Lighting Consultants, etc.) and coordinating project levels items with this team
-Coordinating high-level project direction with firm Principals and coordinating internal team utilization and protocols with firm Engineering Management

General Qualifications include:
-A BS in Engineering
-Minimum of 3 years, but preferably 5+ years experience in an MEP/FP field.  Familiarity with design of multiple/all MEP trades is desired.  Some of this experience must have been in client facing capacity.
-EIT certificate and/or PE License preferred
-REVIT & CAD experience required
-Must have demonstrated familiarity with NYC and NYS building codes
-Must be able to professionally represent the company to clients and agencies at meetings and through written correspondence.
-Must be able to demonstrate the ability to solve complex technical and project level problems
-Proficiency in MSOFFICE & Google Drive tools
-Must be organized, energetic and accountable
-Exceptional communication, writing and interpersonal skills
-Must be able to work overtime as needed to meet project deadlines
 
 
If interested, please send resume labeled with first and last name with minimum salary requirements. Also include a brief description of your relevant experience associated with the position requirements.  

Candidates must be authorized to work in the United States. 

Visit our website at:


Read about our company culture at:


EEA is an Equal Opportunity Employer.
Recruiters, please don't contact this job poster.
do NOT contact us with unsolicited services or offers
    "
Expediter Seeks Class 1 or 2 Filing Rep (All Boroughs),https://newyork.craigslist.org/que/egr/d/ozone-park-expediter-seeks-class-1-or-2/6861072245.html,,50k-70k (based on experience),full-time,"
        
Expediting company seeks experienced full time NYC DOB Expediter/Project Manager for work in the five boroughs of New York City.

We are explicitly looking for someone that already has experience with the NYC Department of Buildings and possesses a valid Class 1 or 2 Filing Representative License. 

Some of our work is as follows:

Preparation of Alteration Type I and II applications, filing of applications, acquiring work permits, meeting with examiners for approval, removing violations with DOB/ECB and FDNY, attending C of O inspections, scheduling and attending violation removal inspections, ECB hearings, meetings with Deputy Borough Commissioners, Chief Plan's examiners, meetings with developers, property managers and homeowners. Constant updates to clients by sending detailed emails, occasional creation of spread sheets, creation of reports to be sent to clients, tracking and coordination of all work. 

Requirements:
- Ability to communicate with clients
- Excellent writing skills
- The ability to speak clear
- Strong organization skills
- Be fluent in English
- Valid driver's license 
- Punctuality is a must
- Be able to work with a team

We are ready to hire you today if you qualify and have the experience we are looking for. Our company offers a competitive salary, health coverage, 401K, paid sick leave and vacation pay.

**** If you do not possess a Class 1 or 2 Filing Rep Status, have knowledge of required DOB/DEP/Landmarks and FDNY forms (DOT is a plus), and you cannot read a set of drawings, please do not apply for this job. We will ask you questions pertaining to forms and applications.

Please respond with your resume and your salary requirements. We look forward to hearing from you. 

We are not looking for Drafters or Architects. Thank you.    "
Construction Administration / Residential high-rise,https://newyork.craigslist.org/mnh/egr/d/new-york-city-construction/6861088839.html,,Flexible,full-time,"
        
Local Developer seeks Architect with heavy experience in Construction Administration to join the team, executing multiple projects in various phases of construction. 
Must have strong experience working on CA phase for an Architect of Record working on residential and/or mixed-use projects. Must have strong technical knowledge and CD production experience. Ideal candidate will have heavy field experience and ability to manage GC/subs as well.  Will be required to guide teams on site, review drawings, respond to RFI's and maintain the integrity of the design throughout construction.  Compensation and experience level are open.    "
Junior Architects Freelance (REVIT),https://newyork.craigslist.org/mnh/egr/d/junior-architects-freelance-revit/6861120197.html,Manhattan,Commensurate with experience level,contract,"
        
My company is looking for Freelance Junior Architects (1-2 yrs exp) with good REVIT skills.

This is for full-time, consulting, on-site work.

The range of projects is varied (Interiors, Healthcare; Hospitality; Education; Residential; Urban Masterplan etc...) and will run from 4-6 months+ in duration.

This is for a high-end NYC design firm. If this is of interest to you please respond and we can arrange an interview. Work can start immediately.

Please respond with HOURLY RATE and RESUME and portfolio if available in PDF.

SKILLS:
* Revit - Excellant skills.
* Acad - a plus
* PhotoShop - a plus
    "
Sr. Account Manager-Furniture Design,https://newyork.craigslist.org/mnh/egr/d/new-york-city-sr-account-manager/6861168662.html,Midtown,Salary 85k Plus full benefits!,full-time,"
        
Great opportunity working for an International Furniture design company based in NYC
Candidate must be highly motivated, be able to work with a dynamic team, with the ability to multi task!  
A previous background in Designing Furniture,  specification/design work a must!

The Account Manager role will primarily be supporting field based Sales Reps. This role is responsible for the specifications of their projects, ensuring all pricing is correct and Custom elements have been costed with proper part numbers, assisting the sales rep with ""closing the deal"" and most importantly, ensuring a clean order is sent into production with all finishes, floor plans, approved shop drawings to be manufactured.
· Using Project Spec specifying software to complete budgets and quotes
· Work with estimating on any custom elements
· Requesting drawings/images from the design department.
· Checking all drawings and images for accuracy
· Ensure all orders are reviewed for complete data (i.e finishes, floor plans, address, etc) prior to submittal for order processing

Job Requirements
· Furniture Design background required 
· Excellent time management, organizational skills and attention to detail 
· Ability to learn quickly, take direction and complete continued self-education about industry trends
· Project Matrix experience is a plus but not required

    "
Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager/6861205003.html,BROOKLYN,Salary will be commensurate with experience.,full-time,"
        
We are a Brooklyn based commercial union drywall, lath & acoustical contractor who has been in business over forty years.  We are seeking candidates to become part of our project management team.  We are looking to hire at both the junior and senior levels.

Responsibilities include:
Analyzing new contracts in order to bring them to fruition
Preparation, negotiation & ordering of long lead and general materials for project completion
Preparation of RFI’s
Monitor project schedule 
Coordinate sub contractors
Attend and represent the firm at weekly project meetings
Maintain quality control
Monitor & prepare change order work related to revised drawings and field conditions
Complete project close outs
This candidate must be self motivated, responsive and organized.   

Salary will be commensurate with experience.
Full medical, dental & vision are included with the position.
401k participation & matching

All inquiries are confidential
    "
Assistant Project Manager Mechanical Contractor,https://newyork.craigslist.org/brx/egr/d/bronx-assistant-project-manager/6861249183.html,bronx,Based on experience,full-time,"
        
We are a mechanical contracting firm that specializes in high rise residential projects. Our growth has created the need to fill a position that supports our team, our clients, and our projects.

Responsibilities for this position include:

Prepare and manage submittals, RFIs, change orders, and their associated logs
Manage the shop drawing, coordination, and as-built drawing process and files
Preparepurchase orders and change orders
Handle record keeping as per individual project requirements
Handle all requirements for certificates of insurance for clients as well as from sub contractors
Support the material / equipment / sub contract purchase process
Administrative duties / support as needed

Requirements:

Willingness to learn
Self starter with ability to work alone or as part of a team
Strong organizational skills
Detail oriented
Multi-tasking
Flexibility with shifting job responsibilities
Experience with Microsoft Office (Outlook, Excel, Word), Quantum
3-4 years similar experience
Job Type: Full-time

Competitive Salary based on Experience.

    "
Expeditor/Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-expeditor-project-manager/6861260013.html,Brooklyn,Salary and Benifits,full-time,"
        
Job Description

Reporting to the Architect/Owner responsible for:
Managing architectural and construction projects from pre-filing to sign-off. Coordinate and manage required items list and squad leaders list at Manhattan Borough office.
Work directly with clients to expedite general filings, corrections, submissions, payments, etc.
Manage DOB HUB and DOBNOW filings
Filing work permits and Processing Temporary Certificates of Occupancy applications. Manage and Track Temporary Elevator sign-offs for Temporary Certificates of Occupancy.
Manage and updated 18 Month Construction inspections sign-offs
Coordinating the payment at the the Department of Buildings
Regularly work with other city agencies to process various documents related to construction projects in the five boroughs.
Interact effectively with city agency officials and company clients.

Requirements:

Associates Degree, Architecture or Engineering preferred but not required.
High level of organization, planning, prioritization and attention to detail.

Salary:
$45,000.00-$50,000.00

Benefits:
Paid Vacation
Paid Sick/Personal Days
401k and Company match
Unlimited Metro card

Job Type: Full-time
    "
Quality Control Construction Document Reviewer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-quality-control/6861415266.html,,Open,full-time,"
        
Very busy Architectural Firm seeks Quality Control Construction Document Reviewer/Checker. The ideal candidate must have an expansive knowledge of construction methodologies. Be able to red mark and check a variety of different architectural review sets as they are developed and coordinate with other disciplines. Must have an understanding of building code, fire code, ADA requirements and UL approved assemblies.    "
ARCHITECT/DRAFTSPERSON/EXPEDITOR,https://newyork.craigslist.org/que/egr/d/great-neck-architect-draftsperson/6861416162.html,GREAT NECK,Negotiable-based on experience,full-time,"
        
Queens / Great Neck Architectural firm seeking Entry Level/Intermediate Architect with minimum 1 year experience in new construction for high end custom one family residences, builders’ cluster residential developments, apartment buildings and commercial projects located in New York City (primarily Queens).
Knowledge of NYC Zoning and Building Department procedures required.
Buildings Filing Representative ID (Class 2) and expediting experience a plus. 
Individual must possess excellent communication skills, be motivated, have a good sense of design and be able to produce design and construction drawings using AutoCAD.
Individual must have a car.
Must have Architectural Degree...Great opportunity to become a Registered Architect.
Friendly, upbeat work environment.
Please email cover letter WITH SALARY REQUIREMENTS and include “Entry Level/Intermediate Architect” in subject header.
    "
AUTOCAD Designer,https://newyork.craigslist.org/brx/egr/d/bronx-autocad-designer/6861440359.html,The Bronx,*Salary negotiable based on experience.*,full-time,"
        
Our company is interested in providing an internship opportunity to a candidate who is motivated, detailed oriented and possesses the knowledge and work ethic this field requires and our team is known for. 

Necessary requirements:
- The ability to work independently while coordinating and prioritizing tasks with project team leaders.
- Develop conceptual sketches into design drawings and coordinate related materials. Maintain logs and records necessary to manage work flow of projects.
- Manage time wisely and work firmly under deadlines. 
- Reviewing submittals and shop drawings.
-Exercise sound judgement and represent the firm with the highest level of professionalism. 
-AUTOCAD knowledge a must.
- Knowledge of Building Code and NYC DOB filing standards.
- Excellent communication and presentation skills, both written and verbally; Fluency in written and spoken English. 

Application Requirements:
Please send a cover letter and resume including salary expectations, relevant work samples representing candidates design and technical abilities.
    "
Architect,https://newyork.craigslist.org/mnh/egr/d/architect/6861452009.html,Midtown East,Include Compensation requirements.,full-time,"
        
Midtown Architectural firm seeks a talented project architect to join the team on a permanent basis. This position requires proficiency in AutoCAD and a bachelor's degree in architecture with post-grad experience and exceptional project leading experience. The successful person will have ideally worked across a variety of sectors including multi-family residential, retail & commercial projects. This is an excellent opportunity to join a busy office and become a key member of the design and delivery team. 
Responsibilities:
• Participate in the design of multiple projects at all design and construction administration phases.
• Communicate with in-house staff, consultants and clients.
• Observe progress and quality of Work to determine if it is in conformance with the Contract Documents and approved shop drawings.
• Participate in site meetings and prepare minutes.

Candidates must:
• Have 5-8 year's professional experience in design and construction   administration.
• Have a professional degree from an accredited school.
• Be familiar with NYC codes and zoning.
• Be familiar with Landmarks Preservation Commission applications.
• Be AutoCAD proficient and computer literate/Vector works experience is a plus.
• Possess exemplary verbal and writing skills.
• Be proficient in the review of shop drawing, including millworks, windows, etc.
• Be a US citizen or be permitted to work in the US.
Include Compensation requirements.
    "
Senior Project Architect/ Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-senior-project-architect/6861455005.html,Midtown East,Will be discussed,full-time,"
        
""Senior Project Architect / Project Manager ""

Stephen Wang and Associates is a full service architectural design firm, with over 30 years experience in the USA and abroad.

We are currently seeking a full-time, in-house ""Senior Project Architect / Project Manager ""to work in our Manhattan office. 

Responsibilities:
•	Manage multiple projects and clients. 
•	Prepare budgets and proposals. 
•	Responsible for overseeing, coordinating and managing projects through all phases of design. 
•	Meet with clients, consultants, contractors and building officials.
•	Oversee and direct the design team to ensure the highest design and quality documentation is prepared.
•	Manage projects design budget.
•	Participate in business development efforts.

Suitable candidates should be highly motivated in both traditional and contemporary architecture with the desire to collaborate in a design driven environment.
This is a great opportunity for the successful candidate to be involved in a very exciting residential project in New York City.

Qualifications:
Bachelor's or Master's degree in Architecture
Strong presentation skills in sketch-up, rhino, photoshop etc.
Working knowledge of NYC DOB and Landmarks preservation commission
Experience and ability to coordinate with engineers and other consultants
Ability to work in a team-based and very fast-paced environment 
Knowledge of AutoCAD (Vectorworks is a plus)

This is a full time salaried position with medical coverage (no part-time or freelance positions and must be allowed to work legally in the US

Qualified candidates should submit a resume, work samples and salary requirements 
(under 10MB)
    "
Architectural drafting help,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-drafting/6861538958.html,New York City,Negotiable,contract,"
        
An interior design company is looking for an architectural drafter.
This current project involves traditional interior architecture and architectural millwork.

You must be available to start towards the end of this week - (exact date TBD).
This project will be for approx 2-3 months (other projects may follow).
Must be available to work on site at our NYC office - it also may be possible to do some work remotely.  
You must have your own laptop with a current or recent version of AutoCad. 

Please submit a resume, a few work samples (please include an elevation); or a link to your portfolio.   
 

    "
